"train/global_step","ethereal-sweep-12 - train/loss","ethereal-sweep-12 - train/loss__MIN","ethereal-sweep-12 - train/loss__MAX","ethereal-sweep-12 - _step","ethereal-sweep-12 - _step__MIN","ethereal-sweep-12 - _step__MAX","stellar-sweep-11 - train/loss","stellar-sweep-11 - train/loss__MIN","stellar-sweep-11 - train/loss__MAX","stellar-sweep-11 - _step","stellar-sweep-11 - _step__MIN","stellar-sweep-11 - _step__MAX","radiant-sweep-10 - train/loss","radiant-sweep-10 - train/loss__MIN","radiant-sweep-10 - train/loss__MAX","radiant-sweep-10 - _step","radiant-sweep-10 - _step__MIN","radiant-sweep-10 - _step__MAX","revived-sweep-9 - train/loss","revived-sweep-9 - train/loss__MIN","revived-sweep-9 - train/loss__MAX","revived-sweep-9 - _step","revived-sweep-9 - _step__MIN","revived-sweep-9 - _step__MAX","fine-sweep-8 - train/loss","fine-sweep-8 - train/loss__MIN","fine-sweep-8 - train/loss__MAX","fine-sweep-8 - _step","fine-sweep-8 - _step__MIN","fine-sweep-8 - _step__MAX","fiery-sweep-7 - train/loss","fiery-sweep-7 - train/loss__MIN","fiery-sweep-7 - train/loss__MAX","fiery-sweep-7 - _step","fiery-sweep-7 - _step__MIN","fiery-sweep-7 - _step__MAX","helpful-sweep-6 - train/loss","helpful-sweep-6 - train/loss__MIN","helpful-sweep-6 - train/loss__MAX","helpful-sweep-6 - _step","helpful-sweep-6 - _step__MIN","helpful-sweep-6 - _step__MAX","chocolate-sweep-5 - train/loss","chocolate-sweep-5 - train/loss__MIN","chocolate-sweep-5 - train/loss__MAX","chocolate-sweep-5 - _step","chocolate-sweep-5 - _step__MIN","chocolate-sweep-5 - _step__MAX","woven-sweep-4 - train/loss","woven-sweep-4 - train/loss__MIN","woven-sweep-4 - train/loss__MAX","woven-sweep-4 - _step","woven-sweep-4 - _step__MIN","woven-sweep-4 - _step__MAX","daily-sweep-3 - train/loss","daily-sweep-3 - train/loss__MIN","daily-sweep-3 - train/loss__MAX","daily-sweep-3 - _step","daily-sweep-3 - _step__MIN","daily-sweep-3 - _step__MAX","fanciful-sweep-2 - train/loss","fanciful-sweep-2 - train/loss__MIN","fanciful-sweep-2 - train/loss__MAX","fanciful-sweep-2 - _step","fanciful-sweep-2 - _step__MIN","fanciful-sweep-2 - _step__MAX","jumping-sweep-1 - train/loss","jumping-sweep-1 - train/loss__MIN","jumping-sweep-1 - train/loss__MAX","jumping-sweep-1 - _step","jumping-sweep-1 - _step__MIN","jumping-sweep-1 - _step__MAX"
"1887","0.534","0.534","0.534","0","0","0","0.5339","0.5339","0.5339","0","0","0","0.5613","0.5613","0.5613","0","0","0","0.5632","0.5632","0.5632","0","0","0","0.6439","0.6439","0.6439","0","0","0","0.6446","0.6446","0.6446","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3773","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5288","0.5288","0.5288","0","0","0","0.527","0.527","0.527","0","0","0","0.5487","0.5487","0.5487","0","0","0","0.5476","0.5476","0.5476","0","0","0","0.622","0.622","0.622","0","0","0","0.6075","0.6075","0.6075","0","0","0"
"3774","0.3998","0.3998","0.3998","2","2","2","0.401","0.401","0.401","2","2","2","0.4288","0.4288","0.4288","2","2","2","0.4281","0.4281","0.4281","2","2","2","0.5216","0.5216","0.5216","2","2","2","0.5207","0.5207","0.5207","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5661","0.2981","0.2981","0.2981","4","4","4","0.3028","0.3028","0.3028","4","4","4","0.3635","0.3635","0.3635","4","4","4","0.363","0.363","0.363","4","4","4","0.4795","0.4795","0.4795","4","4","4","0.4781","0.4781","0.4781","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7546","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4069","0.4069","0.4069","2","2","2","0.4036","0.4036","0.4036","2","2","2","0.4246","0.4246","0.4246","2","2","2","0.4234","0.4234","0.4234","2","2","2","0.4909","0.4909","0.4909","2","2","2","0.4866","0.4866","0.4866","2","2","2"
"7548","","","","","","","","","","","","","","","","","","","0.3049","0.3049","0.3049","6","6","6","0.4571","0.4571","0.4571","6","6","6","0.4561","0.4561","0.4561","6","6","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9435","","","","","","","","","","","","","","","","","","","0.2553","0.2553","0.2553","8","8","8","0.4433","0.4433","0.4433","8","8","8","0.4423","0.4423","0.4423","8","8","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11319","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3102","0.3102","0.3102","4","4","4","0.3099","0.3099","0.3099","4","4","4","0.3609","0.3609","0.3609","4","4","4","0.3602","0.3602","0.3602","4","4","4","0.4528","0.4528","0.4528","4","4","4","0.4503","0.4503","0.4503","4","4","4"
"11322","","","","","","","","","","","","","","","","","","","","","","","","","0.4358","0.4358","0.4358","10","10","10","0.4347","0.4347","0.4347","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15092","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2205","0.2205","0.2205","6","6","6","0.2178","0.2178","0.2178","6","6","6","0.2965","0.2965","0.2965","6","6","6","0.2962","0.2962","0.2962","6","6","6","0.4341","0.4341","0.4341","6","6","6","0.432","0.432","0.432","6","6","6"
"18865","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1492","0.1492","0.1492","8","8","8","0.1446","0.1446","0.1446","8","8","8","0.2373","0.2373","0.2373","8","8","8","0.2385","0.2385","0.2385","8","8","8","0.4199","0.4199","0.4199","8","8","8","0.4183","0.4183","0.4183","8","8","8"
"22638","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1003","0.1003","0.1003","10","10","10","","","","","","","0.1976","0.1976","0.1976","10","10","10","0.1983","0.1983","0.1983","10","10","10","0.4126","0.4126","0.4126","10","10","10","0.4107","0.4107","0.4107","10","10","10"